__src_id,__dst_id,type
"http://www.linkedin.com/company/coldlight-solutions","keyword/Smart Application Platform","hasKeyword"
"http://www.bmgww.com","keyword/Google","hasKeyword"
"http://www.linkedin.com/company/map-d","keyword/social media analytics","hasKeyword"
"http://blog.typesafe.com/","keyword/Typesafe","hasKeyword"
"http://www.moogilu.com","keyword/cloud computing provider","hasKeyword"
"http://www.moogilu.com","keyword/web design and Development Services","hasKeyword"
"http://www.moogilu.com","keyword/SAP hosting","hasKeyword"
"http://www.linkedin.com/company/jobstheword","keyword/Talent Attraction","hasKeyword"
"http://www.talena-inc.com","keyword/TALENA","hasKeyword"
"http://www.youtube.com/watch?v=knicXkXd9hQ","keyword/Mike Hummel","hasKeyword"
"http://www.bigdata4analytics.com","keyword/Social Media","hasKeyword"
"http://www.bigdata4analytics.com","keyword/Real time","hasKeyword"
"http://www.linkedin.com/company/bloomreach","keyword/eCommerce","hasKeyword"
"http://www.linkedin.com/company/bloomreach","keyword/Big Data Apps","hasKeyword"
"http://www.linkedin.com/company/alpine-data-labs","keyword/In Database Analytics","hasKeyword"
"http://www.linkedin.com/company/synerscope-b-v-","keyword/Inetractive Data Visualization Tools","hasKeyword"
"http://www.synerscope.com","keyword/insurance","hasKeyword"
"https://angel.co/spyglass-technologies","keyword/Venture Capital","hasKeyword"
"http://tyk.li/blog","keyword/semantic web","hasKeyword"
"http://tyk.li/blog","keyword/exploratory search","hasKeyword"
"http://www.linkedin.com/company/continuum-analytics-inc-","keyword/NumPy","hasKeyword"
"http://continuum.io/blog","keyword/data Visualization","hasKeyword"
"http://www.meteo-logic.com","keyword/wind power","hasKeyword"
"http://www.meteo-logic.com","keyword/energy","hasKeyword"
"http://www.kitenga.com","keyword/big data search solution","hasKeyword"
"http://www.linkedin.com/company/sociaplus","keyword/Social Media","hasKeyword"
"http://www.linkedin.com/company/sociaplus","keyword/Mobile Platforms","hasKeyword"
"http://www.sumologic.com/blog/","keyword/sumo","hasKeyword"
"http://www.sumologic.com/blog/","keyword/sumo","hasKeyword"
"http://www.sumologic.com/blog/","keyword/organize logs","hasKeyword"
"http://www.sumologic.com/blog/","keyword/collectors","hasKeyword"
"http://www.green-red.com","keyword/ad network","hasKeyword"
"http://www.green-red.com","keyword/online ads","hasKeyword"
"http://intelligentpipe.com/","keyword/telecommunication","hasKeyword"
"http://www.memsql.com","keyword/Scale","hasKeyword"
"http://idatamatics.com","keyword/IBM Netezza MPP ELT Tools","hasKeyword"
"http://idatamatics.com","keyword/iDxMonitor","hasKeyword"
"http://idatamatics.com","keyword/iDxMetaView","hasKeyword"
"http://idatamatics.com","keyword/New Data Integration tools","hasKeyword"
"http://idatamatics.com","keyword/elt data warehouse","hasKeyword"
"http://idatamatics.com","keyword/what is ibm netezza","hasKeyword"
"http://idatamatics.com","keyword/Netezza ELT","hasKeyword"
"http://idatamatics.com","keyword/netezza sql queries","hasKeyword"
"http://idatamatics.com","keyword/Hive Data Warehouse","hasKeyword"
"http://idatamatics.com","keyword/Data Load into PDA","hasKeyword"
"http://idatamatics.com","keyword/What is difference betwee ETL and ELT","hasKeyword"
"http://idatamatics.com","keyword/Best ETL tools for Hive","hasKeyword"
"http://idatamatics.com","keyword/Best way to load data in Cloudera","hasKeyword"
"http://idatamatics.com","keyword/Best way to load data in Netezza","hasKeyword"
"http://idatamatics.com","keyword/How to load data in Netezza","hasKeyword"
"http://www.linkedin.com/company/synomia","keyword/Analyse du contenu","hasKeyword"
"http://www.brightcomputing.com","keyword/Cluster Management","hasKeyword"
"http://www.brightcomputing.com","keyword/beowulf cluster","hasKeyword"
"https://angel.co/wisdomforce-technologies","keyword/Venture Capital","hasKeyword"
"http://www.linkedin.com/company/red-lambda-inc.","keyword/Network forensics","hasKeyword"
"http://antuit.com","keyword/business analytics solutions","hasKeyword"
"http://antuit.com","keyword/strategic business insights","hasKeyword"
"http://antuit.com","keyword/predictive data  analytics","hasKeyword"
"http://antuit.com","keyword/Antuit","hasKeyword"
"http://www.linkedin.com/company/big-data-partnership","keyword/HBase","hasKeyword"
"http://www.linkedin.com/company/big-data-partnership","keyword/Apache Spark","hasKeyword"
"http://www.linkedin.com/company/sqlstream","keyword/Internet of Things","hasKeyword"
"http://www.linkedin.com/company/customermatrix","keyword/Sales Excellence Applications","hasKeyword"
"http://www.linkedin.com/company/customermatrix","keyword/Enteprise Cognitive Systems","hasKeyword"
"http://www.gruter.com","keyword/hadoop management","hasKeyword"
"http://www.linkedin.com/company/cyberlightning-ltd.","keyword/3D Internet of Things","hasKeyword"
"http://www.linkedin.com/company/cyberlightning-ltd.","keyword/Internet of Things","hasKeyword"
"organization/learnsprout","http://blog.learnsprout.com/","hasWebsite"
"organization/learnsprout","http://twitter.com/LearnSprout","hasWebsite"
"organization/learnsprout","person/gee-kin-chou","hasBoardMemberAndAdvisor"
"organization/lhsg","QWRkcmVzc251bGxudWxsbnVsbDE1MTc0MlNlb3Vs","hasOffice"
"organization/lhsg","QWRkcmVzc251bGxudWxsbnVsbDE1MTc0MlNlb3Vs","hasHeadquarter"
"organization/lhsg","http://www.facebook.com/pages/Popcloud/176066045850647","hasWebsite"
"organization/lucas-venture-group","person/don-a-lucas","hasTeamMember"
"organization/map-d","http://www.linkedin.com/company/map-d","hasWebsite"
"organization/marklogic","http://www.marklogic.com","hasWebsite"
"organization/marklogic","http://www.linkedin.com/company/marklogic","hasWebsite"
"organization/marklogic","person/christopher-lindblad","hasTeamMember"
"organization/marklogic","person/christopher-lindblad","hasFounder"
"organization/marklogic","person/christopher-lindblad","hasTeamMember"
"organization/marklogic","person/david-gorbet","hasTeamMember"
"organization/massive-analytic","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/massive-analytic","image/upload/v1397181926/27622c8551b287a14c16e591d38b2da0.jpg","hasPrimaryImage"
"organization/nexgence","category/algorithms/0f66731c34f034944783a59a5d239c66","hasCategory"
"organization/niche-skills","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/0xdata","http://0xdata.com/blog/","hasWebsite"
"organization/0xdata","http://www.plus.google.com/109486779212435464374","hasWebsite"
"organization/a16e","person/dave-linhardt","hasTeamMember"
"organization/a16e","person/dave-linhardt","hasFounder"
"organization/a16e","image/upload/v1406286266/w4twirux2ren8ojn7rpz.png","hasPrimaryImage"
"organization/altoros-systems","QWRkcmVzc0RhbmlzaCBPZmZpY2VudWxsbnVsbERLLTg2MDBTaWxrZWJvcmc=","hasOffice"
"organization/altoros-systems","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/altoros-systems","category/mobile/e907cf2a842d8a30a0b107d9de4a8178","hasCategory"
"organization/altoros-systems","QWRkcmVzc1N3aXNzIE9mZmljZW51bGxudWxsODAwOFrDvHJpY2g=","hasOffice"
"organization/arbor-ventures","person/christiaan-kaptein","hasTeamMember"
"organization/arbor-ventures","person/hermann-lui","hasTeamMember"
"organization/atigeo","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/atigeo","person/john-rindlaub","hasBoardMemberAndAdvisor"
"organization/atigeo","image/upload/v1397191799/ec59cfe550aca0fdbef5defa71ff0499.jpg","hasPrimaryImage"
"organization/atigeo","person/rowland-hanson","hasTeamMember"
"organization/atigeo","person/michael-sandoval","hasTeamMember"
"organization/beyond-media-global","QWRkcmVzc1Rva3lvIE9mZmljZW51bGxudWxsbnVsbFRva3lv","hasOffice"
"organization/beyond-media-global","http://www.bmgww.com","hasWebsite"
"organization/big-inja","http://twitter.com/BigInja","hasWebsite"
"organization/bigdata-sg","person/john-berns","hasFounder"
"organization/bigdata-sg","person/john-berns","hasTeamMember"
"organization/nube-technologies","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/nube-technologies","category/neuroscience/e37ada49ab155e460a49f0ce1a3c9128","hasCategory"
"organization/packetloop","http://www.packetloop.com","hasWebsite"
"organization/pialgo-technologies","category/finance/ae5718dc8602c733e62b28e6167091ad","hasCategory"
"organization/queryio","QWRkcmVzc0hlYWRxdWFydGVyc251bGxudWxsOTUwMTRDdXBlcnRpbm8=","hasHeadquarter"
"organization/queryio","QWRkcmVzc0hlYWRxdWFydGVyc251bGxudWxsOTUwMTRDdXBlcnRpbm8=","hasOffice"
"organization/queryio","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/queryio","image/upload/v1397198084/5468f72a3f4a9ef1cd10d4b613d049a8.png","hasPrimaryImage"
"organization/queryio","QWRkcmVzc0hlYWRxdWFydGVyc251bGxudWxsOTUwMTRDdXBlcnRpbm8=","hasHeadquarter"
"organization/radoop","http://www.linkedin.com/company/radoop-llc","hasWebsite"
"organization/rating-vc","http://twitter.com/RatingVC","hasWebsite"
"organization/recopick","http://recopick.com/","hasWebsite"
"organization/recopick","person/gyeonghwan-oh","hasTeamMember"
"organization/branchbird","http://branchbird.com/blog","hasWebsite"
"organization/bright-computing","person/matthijs-van-leeuwen","hasTeamMember"
"organization/bright-computing","http://twitter.com/brightcomputing","hasWebsite"
"organization/bright-computing","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/bright-computing","http://www.brightcomputing.com","hasWebsite"
"organization/bright-computing","person/matthijs-van-leeuwen","hasFounder"
"organization/cambridge-computers","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/chiliad","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/chiprix","person/dan-siboni","hasTeamMember"
"organization/chiprix","person/dan-siboni","hasFounder"
"organization/conflictbase","http://twitter.com/conflictbasebkn","hasWebsite"
"organization/conflictbase","person/rattanamol-singh","hasTeamMember"
"organization/conflictbase","person/rattanamol-singh","hasFounder"
"organization/context-relevant","funding-round/eda3842253ca58b4f7f2f54ca1635886","hasFundingRound"
